Roll Number,dist_to_grocer_m,grocer_chain,grocer_store,grocer_id
9010389700,1784.3845936230866,Safeway,Safeway Transcona,12
9010329500,1632.624061624506,Safeway,Safeway Transcona,12
9010327900,1624.534700689947,Safeway,Safeway Transcona,12
9010167300,1719.2017318542132,Safeway,Safeway Transcona,12
9010386900,1758.4035501955223,Safeway,Safeway Transcona,12
9010474650,1826.2797742009425,Safeway,Safeway Transcona,12
9010034400,1616.246387905616,Safeway,Safeway Transcona,12
9010348600,1650.8046708682778,Safeway,Safeway Transcona,12
9010478000,1977.7263813494203,Safeway,Safeway Transcona,12
9010474470,1796.4522780200234,Safeway,Safeway Transcona,12
9010350100,1685.09530200124,Safeway,Safeway Transcona,12
9010167100,1718.5224146977284,Safeway,Safeway Transcona,12
9010335000,1666.8883501285493,Safeway,Safeway Transcona,12
9010477995,1980.8078911819612,Safeway,Safeway Transcona,12
9010332800,1635.7246979602385,Safeway,Safeway Transcona,12
9010386800,1756.7034042359244,Safeway,Safeway Transcona,12
9010334900,1662.3437691600236,Safeway,Safeway Transcona,12
9010130800,1629.9780113081906,Safeway,Safeway Transcona,12
9010329600,1622.8882527566616,Safeway,Safeway Transcona,12
9010474825,1904.8440695570005,Safeway,Safeway Transcona,12
9010306400,1635.4270561198184,Safeway,Safeway Transcona,12
9010333800,1661.113193715434,Safeway,Safeway Transcona,12
9010327700,1597.1865400304468,Safeway,Safeway Transcona,12
9010369700,1718.1363408197965,Safeway,Safeway Transcona,12
9010333700,1656.4803433505576,Safeway,Safeway Transcona,12
9010327800,1613.3431983583093,Safeway,Safeway Transcona,12
9010139200,1620.3493978513366,Safeway,Safeway Transcona,12
9010389600,1772.1647046744213,Safeway,Safeway Transcona,12
9010334000,1665.968472992586,Safeway,Safeway Transcona,12
9010166900,1717.9780847168904,Safeway,Safeway Transcona,12
9010034200,1605.8866354571294,Safeway,Safeway Transcona,12
9010327600,1595.964226577892,Safeway,Safeway Transcona,12
9010386700,1755.053496198847,Safeway,Safeway Transcona,12
9010333600,1650.445035963512,Safeway,Safeway Transcona,12
9010474645,1815.0146205087426,Safeway,Safeway Transcona,12
9010327500,1591.925301303383,Safeway,Safeway Transcona,12
9010477940,1989.380021717574,Safeway,Safeway Transcona,12
9010474465,1784.8967738997746,Safeway,Safeway Transcona,12
9010477965,1934.98183470099,Safeway,Safeway Transcona,12
9010332900,1626.8853764340738,Safeway,Safeway Transcona,12
9010130300,1616.5843822458792,Safeway,Safeway Transcona,12
9010369600,1704.5509886914033,Safeway,Safeway Transcona,12
9010166700,1717.5688163120744,Safeway,Safeway Transcona,12
9010329700,1612.7483903826771,Safeway,Safeway Transcona,12
9010327400,1588.6594220496593,Safeway,Safeway Transcona,12
9010334200,1664.9374190030096,Safeway,Safeway Transcona,12
9010334300,1661.937547240996,Safeway,Safeway Transcona,12
9010132300,1665.6478567306535,Safeway,Safeway Transcona,12
9010132100,1662.9211364288924,Safeway,Safeway Transcona,12
9010477945,1992.6336534696568,Safeway,Safeway Transcona,12
9010386600,1753.5323233631013,Safeway,Safeway Transcona,12
9010145400,1598.0359950590469,Safeway,Safeway Transcona,12
9010477970,1937.82454021401,Safeway,Safeway Transcona,12
9010327300,1585.722843793545,Safeway,Safeway Transcona,12
9010131800,1658.1204175846265,Safeway,Safeway Transcona,12
9010477950,1997.1935197123903,Safeway,Safeway Transcona,12
9010132600,1665.9117596286046,Safeway,Safeway Transcona,12
9010474820,1891.739202376208,Safeway,Safeway Transcona,12
9010131600,1651.165041036679,Safeway,Safeway Transcona,12
9010034000,1596.441480233587,Safeway,Safeway Transcona,12
9010333400,1634.4743368763297,Safeway,Safeway Transcona,12
9010124800,1621.3290285135151,Safeway,Safeway Transcona,12
9010166500,1717.2947467447884,Safeway,Safeway Transcona,12
9010327200,1580.4500636558428,Safeway,Safeway Transcona,12
9010369500,1693.9681119770905,Safeway,Safeway Transcona,12
9010334400,1658.405026992398,Safeway,Safeway Transcona,12
9010389500,1760.2392862390527,Safeway,Safeway Transcona,12
9010124600,1616.8696930038925,Safeway,Safeway Transcona,12
